Fecha,Producto,Cantidad,Precio,Ciudad,Cliente,Total
2025-07-30,Smartphone,6,513.19,Guadalajara,María Delia Blanco,3079.1400000000003
2025-07-22,Smartphone,3,747.18,Cancún,Lic. Carla Morales,2241.54
2025-05-11,Teclado,5,106.4,Ciudad de México,Diego Nadia Hidalgo,532.0
2025-06-06,Monitor,10,1477.37,Cancún,Adela Cortés Zamudio,14773.699999999999
2025-04-23,Audífonos,6,1828.65,Ciudad de México,Ing. Leticia Quintero,10971.900000000001
2025-02-27,Monitor,6,1838.87,Querétaro,Sr(a). Esther Llamas,11033.22
2025-01-24,Cámara,1,1752.11,Cancún,Camilo Cazares Calderón,1752.11
2024-12-07,Tablet,9,1733.76,Ciudad de México,Dr. Raquel Jaramillo,15603.84
2025-03-09,Cámara,10,1568.75,Toluca,Olivia Carmona Quintero,15687.5
2024-08-30,Audífonos,6,445.89,Guadalajara,Eugenia Ochoa,2675.34
2025-02-27,Mouse,7,474.38,Puebla,Mariano Florencia Amador Espinoza,3320.66
2024-10-14,Audífonos,7,1258.15,Puebla,Bernardo Miguel Melgar Lebrón,8807.050000000001
2024-10-29,Teclado,5,1503.57,Guadalajara,Mtro. Serafín Ortega,7517.849999999999
2025-05-04,Smartphone,5,265.03,Monterrey,Estela Tijerina,1325.1499999999999
2025-05-13,Tablet,4,1793.73,Querétaro,José Luis Miramontes Zelaya,7174.92
2025-04-10,Laptop,5,133.16,Cancún,Delia Alfonso Bétancourt Hernández,665.8
2024-10-06,Monitor,2,1922.71,Ciudad de México,Leonel Natividad Rocha,3845.42
2024-12-10,Audífonos,2,547.6,Cancún,Enrique María Cristina Casares Gonzales,1095.2
2024-12-11,Smartphone,6,1585.25,Puebla,Ing. Benito Quintana,9511.5
2025-03-08,Teclado,6,1494.78,Toluca,Ing. Hilda Salinas,8968.68
2024-12-08,Tablet,5,562.6,Toluca,Mtro. Vanesa Lucio,2813.0
2024-08-22,Impresora,7,314.33,Querétaro,Diego Sierra Lomeli,2200.31
2025-01-10,Cámara,9,1555.27,Puebla,Conchita Padrón,13997.43
2025-01-25,Impresora,2,747.37,Toluca,Jonás Lucía Iglesias,1494.74
2024-08-18,Monitor,4,1527.39,Querétaro,Hilda Naranjo,6109.56
2024-10-15,Teclado,5,421.63,Cancún,Israel Henríquez Caldera,2108.15
2025-07-03,Laptop,7,385.77,Querétaro,Sessa Barrera,2700.39
2025-06-12,Tablet,4,1942.1,Guadalajara,Alberto Ofelia Jiménez,7768.4
